"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"18471","CREND9","N9","CREDITACCESS GRAMEEN LTD07JU26",0.01,1,"","",0,1000,"INE741K07595",0,0,1020,875.2,"","","",0,0,0,1206,804,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","925CAGL26"
"18473","CREN10","NA","0% CREDITACCESS  JUN 26",0.01,1,"","",0,1000,"INE741K07538",0,0,1226,1010,"","","",0,0,0,1471.2,980.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAGL26"
"18474","719D60","GS","7.19% G-SEC. 15 Sep 60",0.01,1,"","",0,100,"IN0020200039",0,0,124,86,"","","",0,0,0,105,95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","719GS2060"
"18479","INTSOF","EQ","INTRASOFT TECHNOLOGIES LIMITED",0.01,1,"","",0,10,"INE566K01011",146.91,83.05,854,20.6,"","","",0,0,0,109.24,72.84,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","ISFT"
"18480","CREN11","NB","CREDITACCESSGRAMEENV9.4007NV27",0.01,1,"","",0,1000,"INE741K07587",0,0,1004,885.2,"","","",0,0,0,1204.8,803.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","940CAGL27"
"18485","CREN12","NC","0% CREDITACCESS  NOV 27",0.01,1,"","",0,1000,"INE741K07553",0,0,1190,1000,"","","",0,0,0,1428,952,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAGL27"
"18487","CREN13","ND","CREDITACCESSGRAMEENVII9.77SP28",0.01,1,"","",0,1000,"INE741K07579",0,0,1123,992.08,"","","",0,0,0,1224,816,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","970CAGL28"
"18498","CREN14","NE","0% CREDITACCESS  SEPT 28",0.01,1,"","",0,1000,"INE741K07546",0,0,1197.2,1050,"","","",0,0,0,1416.24,944.16,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CAGL28"
"18501","SABEVE","BE","SAB Events Gov Now Media Ltd",0.01,1,"","",0,10,"INE860T01019",12.18,3.69,101,0.45,"","","",0,0,0,11.28,10.84,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SABEVENTS"
"18506","SARPHA","SM","SAROJA PHARMA INDUST. IND LTD",0.01,1,"","",0,10,"INE0PCL01011",60,34,82.9,33.1,"","","",0,0,0,39.6,32.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","SAROJA"
"18508","TVVISI","BE","TV VISION LIMITED",0.01,1,"","",0,10,"INE871L01013",12.4,3.65,324.05,0.95,"","","",0,0,0,7.52,6.82,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TVVISION"
"18514","PRAPR","SM","PRAMARA PROMOTIONS LIMITED",0.01,1,"","",0,10,"INE0O7A01017",363.9,101.05,363.9,78,"","","",0,0,0,419.55,279.75,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PRAMARA"
"18520","CUPRUB","EQ","CUPID LIMITED",0.01,1,"","",0,1,"INE509F01029",526.95,55.75,526.95,5.2,"","","",0,0,0,550.25,366.85,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","CUPID"
"1853","NITGEL","EQ","NITTA GELATIN INDIA LIMITED",0.01,1,"","",0,10,"INE265B01019",0,0,245,9,"","","",0,0,0,19.8,13.2,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","KERALACHEM"
"18543","DIAPOW","EQ","DIAMOND POWER INFRASTRUCTURE L",0.01,1,"","",0,1,"INE989C01038",183.5,81.5,190,0.03,"","","",0,0,0,143.48,117.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DIACABS"
"18548","NAKRE1","BE","NAKODA GRP IND LTD RIGHTS ENT",0.01,1,"","",0,1,"INE236Y20020",0,0,118.95,41.05,"","","",0,0,0,7.9,3.4,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","NGIL-RE1"
"18553","JUPLIF","EQ","JUPITER LIFE LINE HOSP. LTD",0.01,1,"","",0,10,"INE682M01012",1770,1266,1770,970,"","","",0,0,0,1615.9,1077.3,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","JLHL"
