security_id,symbol,name,series,tick_size,lot_size,instrument_type,segment,exchange
338,BALMLAWRIE,Balmer Lawrie & Co,EQ,5,1,ES,E,NSE
19,STYRENIX,Ineos Styrolution,EQ,5,1,ES,E,NSE
1100,GARFIBRES,Garware Technical Fibres,EQ,5,1,ES,E,NSE
4157,KEYFINSERV,KEYNOTE FIN SERV LTD.,EQ,5,1,ES,E,NSE
11763,JPPOWER,Jaiprakash Power Ventures,EQ,5,1,ES,E,NSE
17069,UJJIVAN,Ujjivan Financial Services,EQ,5,1,ES,E,NSE
13332,SOLARINDS,Solar Industries India,EQ,5,1,ES,E,NSE
4986,IRCON,Ircon International,EQ,5,1,ES,E,NSE
11445,PILANIINVS,Pilani Inv & Ind Cor,EQ,5,1,ES,E,NSE
15184,BRIGADE,Brigade Enterprises,EQ,5,1,ES,E,NSE
17105,SUMICHEM,Sumitomo Chemical,EQ,5,1,ES,E,NSE
7506,WOCKPHARMA,Wockhardt,EQ,5,1,ES,E,NSE
2939,RUBYMILLS,Ruby Mills,EQ,5,1,ES,E,NSE
11491,APARINDS,Apar Industries,EQ,5,1,ES,E,NSE
1530,INDIANHUME,Indian Hume Pipe,EQ,5,1,ES,E,NSE
11618,ASTRAMICRO,Astra Microwave Products,EQ,5,1,ES,E,NSE
10473,POWERMECH,Power Mech Projects,EQ,5,1,ES,E,NSE
31258,NDL,Nandan Denim,EQ,5,1,ES,E,NSE
1267,GUJALKALI,Gujarat Alkalies & Chemicals,EQ,5,1,ES,E,NSE
13106,NAHARINDUS,Nahar Inds Ent,EQ,5,1,ES,E,NSE
685,CHOLAFIN,Cholamandalam Investment,EQ,5,1,ES,E,NSE
2183,SUNDARMHLD,Sundaram Finance Hold,EQ,5,1,ES,E,NSE
13337,GALLANTT,Gallantt ispat,EQ,5,1,ES,E,NSE
3703,VIPIND,VIP Industries,EQ,5,1,ES,E,NSE
16249,INFIBEAM,Infibeam Avenues,EQ,5,1,ES,E,NSE
17728,ASTEC,Astec Lifesciences,EQ,5,1,ES,E,NSE
13560,GRINDWELL,Grindwell Norton,EQ,5,1,ES,E,NSE
14908,KDDL,KDDL,EQ,5,1,ES,E,NSE
16821,VINYLINDIA,Vinyl Chemicals,EQ,5,1,ES,E,NSE
2442,NOCIL,NOCIL,EQ,5,1,ES,E,NSE
1424,HINDZINC,Hindustan Zinc,EQ,5,1,ES,E,NSE
10604,BHARTIARTL,Bharti Airtel,EQ,5,1,ES,E,NSE
20071,INTENTECH,Intense Technologies,EQ,5,1,ES,E,NSE
18457,POWERINDIA,Abb Power Pro N Sys Ind L,EQ,5,1,ES,E,NSE
2912,RIIL,Reliance Industrial Infra Ltd,EQ,5,1,ES,E,NSE
1162,GTL,GTL,EQ,5,1,ES,E,NSE
20936,KIRLOSENG,Kirloskar Oil Eng,EQ,5,1,ES,E,NSE
8687,MUKTAARTS,Mukta Arts,EQ,5,1,ES,E,NSE
15151,MADHAV,Madhav Marble & Granite,EQ,5,1,ES,E,NSE
526,BPCL,Bharat Petroleum,EQ,5,1,ES,E,NSE
18086,DBL,Dilip Buildcon,EQ,5,1,ES,E,NSE
